UEN	WEBSITE
74a1cdd87409b3c4c15a1d1780f4a8980ce007037a5cc44b843f5e2e0883aebb	afloatmarine.com.sg/
9e2b470296aebddba45aeb5f58a5755c8b79e16f2333c40925d154b9afd4ee60	www.memoryimprovement.com.sg
9c4852078d5890fe37b52fdef57bb9e77f2ac56adc24f52505effd8b1df264c9	primeroindustries.com
eb28a75b150ee897dd3e3719ecbeac9da8dc9dd73f0da9106767971df1460bbd	www.commzgate.com
e80273f778d860715be320b5bc486ed66e07f6c7801896d1dc216f0f738cca9c	homeworks.com.sg
23826870ed39dd8eaf3ae13f428953cbc4d09e4dc75fe82ed659e15a751b1c9e	www.mellship.com/
b65069d80d46c3fe61d67967252905c8d29dedccefca44a4e0c48c1863a8182f	www.oneshop.com.sg
921a376c7c94ec1bfb86d1cbddfc4163ec82e6b879e9a6b4ea7871de26096db6	giken.com.sg
2d256ada1482f701365f850dbeba647db10987ea7a6cf097a1ca2b32410c566f	www.bousteadprojects.com
ef521ac73d257ef3ef3784d6fcc5c4cd27db1de0dd74648242fddac87b94d33e	www.cs-performance.com/index.php%3foption%3dcom_content%26view%3darticle%26id%3d2%26itemid%3d3
d365e2a1c6b711c11a1e654a00977a0489f67f1aca1d21de79f3c9a2abedd40c	www.thomsonreuters.com.sg/en.html
9106605a8ec880557b544771a87180924aea009fe919cc55a6642fc9f833ee00	wew.singaporeincorporation.net
593fb83d53fb360af1e6f9560ca0c5815eb09ae16f3e6fabdbce819609a2f8e8	www.idigital.sg
1f802fc2863e121621a0ce6c72b75710f07d01b5ef051224bee5562b19ebe915	www.globalcitizenforum.org
d5f45d6306894b1ad9e2a505a564c65e20ec50a8839e9aca0860019902a379d3	www.actually.sg
903d896521e2bf15eeb7acc2fd0357cafca66622cfbf46b36837117cab8c87ac	meridian.co.in
1bb218253535740d3c37196b1e5f859bac1b93f3b2c2da7d2d0c01e1337f877b	www.theshadeslab.com
846bd7c066e95c8ee9a8aefd3e2b52bad1600a5e5294e083c2d1a45a97656938	www.dd2media.com/#1
db9ea4fdf70111302bc128ddb37001e068ef2ad08c7fb4ee524425382f69e633	www.absoluteedgemedia.com.au
7f1378ff7d449edc6f7eb50a8811c7f8fb7a2723243472b929ed0b4f7f7003cb	https://br.sg/
abef7f53ed8957eb3e515376a97d68daf3011da8e804d04185452e118c5ee270	https://www.bozhon.com/
9772e51d7c3b8612ed90074eeee5ef73eb688332dd78b697d2d83b062eb3c339	thejanegoodallinstitute.com
026739b9d1b0972b0159ea26da6ca1cd9d08c38eefc74a27f5a04b4fd0385e64	www.cutechgroup.com
c9452532603b1c29387763e185a76fca18ec9d6b5a25c69998382792b0f87d0a	www.ebasic.com.sg
eb1a90c2ff5cbf7cb1b9752abf486d6c5ba6bc4463cc907656f8cf08483ff097	www.quaytex.com
293e78301659b24de21656613da24d192b9e780b85ad0b0b77b9a9b68aa704fe	www.itiviti.com
063c7b5ad668d919a5a49b1748d38ec414afe34fc5d2693060d26ee8bb3466c1	singaporeresortsentosa.com
c531e56928acff29a1fc97497f2b27a8dc0e9cf147d78a3e00ab5f5a2f6407c6	https://www.leonardocompany.com/en/global/asia/singapore
d3d80923db7a5efe2ac3abf718368763f7951deccc1760eff768876bce5146a6	www.satguruhomeopathy.com
00c5f43a505ce7bc0f928d0bee5068eee4e25b535126afcc133f1302fb5c78e6	alansarioman.com
a9240cc33a3cc19d4e36ea6a34a87e3cd0452fd1ef56dd0478767c19ff5319da	http://sopl.sg/
1dfe6fda2467a7a3e4b6a5ffa061701935f9ba44816be93d9963e45dcb1bd0dc	www.umsgroup.com.sg
b9f739519cc7c31074b079f324c73d2fd4a2c1954fc2497e0b162707567fcf9b	www.fanmath.com.sg
0a2b949309f4d82fab76f94a8d48d7e585644ce386a9f0e780bcc7a58fd7581d	www.admiraltymaritime.sg
019de33af25d79756fce343e7b7fa3dde959bc0c12caab857940851643a25529	g2vaccelerator.com
8606289265e144ca5eb954a1b0028f1a4d416058b0e158c9eff7b9baa624f607	www.ideagraph.com.sg
5bec6831418e215b4755b34b3437d2bfca3fe2f118bdd943c6b678cc552e7f36	www.iwatani.com.sg
e39beae73ee8e44e3aefcaeb56e6e8b1637aa2d447d691198d0c6bea07e9d0da	www.flex-solver.com.sg
d4d48009ecd5ce9a7cb8a6290f7d1600f706743f347bb24498b6709b1300542e	www.copthornekings.com.sg
9e0d0b65e146ca838d790ea7b2916b9a836c95e079f2b1f0cacebeaa62178c1b	www.singhealth.com.sg/SCH/our-hospitals/bright-vision-hospital/about-bvh
260325842ec884394146f41351bf7de281a191025580745db5fd6cebb2d990e5	mirobotic.sg
e8f3e7ae981fdd24cfd303e47e1c60b3ae04fbe328e29502d035f91348de79c6	www.tpi.sg
117c5c6daed93260525e34603edba6a9011591a40d7cf86410188729b5943bf1	www.ripplesiot.com
cd9ca2bfd819b3f64ed71244fab5f4e0cec8705e0c8b4324dce8ef3aaec82a6e	www.eginnovations.com
ee889b75305d03ba6957e848b93be9338a6e6b6aa1bde0087382dba88104b730	ilc-logistic.com
2702d3a2914923a6f845cffc64df0ea3870689ba61ef4154f45bd347c676c148	www.infobitav.com/
49c03cdd077edf68feeb7370b216e353d6d3808c92d239abc9c0ebfa1df1a7fd	www.bricoleurconsulting.com.sg
b1104b5b1af186df4eefa6d96c60791a60acce5580920d61507907f80f212d5c	http://www.thestarry.co/
77395bac9c0ae2ee732036e548e9b9bd2e02e267cc96c074330382fc3d4f073c	www.keysolutionsgroup.com.sg
1f59f214d515425e25c5b052005f38689ef671b7291576920db0604217903b57	www.ev.com.sg
c2214e27a77ac40e1325b8e2c699f07bf7ab538699a0ebf5993919c0a49ecaa2	www.jaben.com
4a61f6910cd578f823ec6b55af432878d2ba3732224bddb39aea6e207f6f418e	goodluck.com.sg
52bf218393c779e71587244f87377b449e9b9031b93bbf5592ab72f6d1bc1d36	streamworxsolutions.com
c50175b0dc55a4bfde0571fb48b70d982d064538b567f47b1999074052c5ca1c	kalibregroup.net
c1c2f3af3cbe26336a64a5f94e1a46daa0680b720cd1a85b705a393e358a6d46	getecha.com
