SOURCE	UEN	CLUSTER_DEFN	OR_CAT	EMP_SIZE	REF_YR	Age_Band	SSIC	WEBSITE
ORBIS	453636db8d15db92dba994d347e679f611967bb0c0f14ae6b008174f04eade87	17 Finance & Insurance	01. <=1mil	Missing EMP	2023	01. <= 5 Years	64929.0	www.transcab.com.sg
ORBIS	3887697ca83ac1f1ba6948e08414ad3fc08444348330eb2b2460533d9ceb308c	12 Retail Trade	01. <=1mil	01. Employees <= 10	2023	04. 20 to <= 3	47743.0	www.elitefloragallery.com
SGNIC	c82dd67751e66cbe240763e6d241bf3015be69a6eff9274c99bc4d7326a01e24	21 Other Services Industries	01. <=1mil	01. Employees <= 10	2023	04. 20 to <= 3	94911.0	KINGOFGLORYCHURCH.ORG.SG
ORBIS	2a76b4d461c6c20f4243ea1990cce2267d2970196eeee31afaffe71dea5c7183	16 Information & Communications	03. 1mil -<= 10mil	01. Employees <= 10	2023	02. 5 to <= 10	62090.0	www.mindthoughts.net
ORBIS	781f4c00354c94733b351f017d8b6190d2fbfec656632658d2e1a7557929ab96	17 Finance & Insurance	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	04. 20 to <= 3	66191.0	www.rbcits.com
SGNIC	b2c0dd3307954265bc3d1cc6e7b8e395b5787b80d6736086c50161192ecd883d	21 Other Services Industries	01. <=1mil	01. Employees <= 10	2023	01. <= 5 Years	86904.0	REJOY.COM.SG
ORBIS	2e7f2f7885cd04b0c143e29722733038a35bf327f7e60b8fa90a2a609e858654	11 Wholesale	03. 1mil -<= 10mil	01. Employees <= 10	2023	01. <= 5 Years	46461.0	bioesquemedical.com
GMAP	68e97c94a484a8b627abe06510d913a4650380bc5e795e2023f0bde8252d966a	21 Other Services Industries	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	04. 20 to <= 3	86909.0	www.kidz-potc.com.sg/
ORBIS	f97062fa2ee84ba34af89dc571b6ca51915456f9895f36de29ce226e0a61308e	13 Transportation & Storage	08. Above 100mil	03. 50 < Employees <= 200	2023	05. > 30 Years	50021.0	www.aet-tankers.com
ORBIS	56d4abc2e905725e8d372b540a1229b30e16477c1d7d6e50ee987a9aa4f85614	12 Retail Trade	06. 10mil -<= 100mil	04. 200 < Employees <= 500	2023	03. 10 to <= 2	47109.0	www.japanhome.com.sg
SGNIC	7dd1d644e8e40f45da147e56b30f5dd386d19132a0133dbdf1a62645e5b37077	11 Wholesale	01. <=1mil	Missing EMP	2023	02. 5 to <= 10	46551.0	XKMARINE.COM.SG
ORBIS	059b688197a721e4aa2104f07334f4b435ba160b5b8c46d7b8b47fd4b6f34b39	19 Professional Services	01. <=1mil	Missing EMP	2023	03. 10 to <= 2	74192.0	binaryline.com
ORBIS	6a2c66725d64ab2174fc60c9b30369153e747d7270139d5654a8db1cbcc4f9e1	19 Professional Services	06. 10mil -<= 100mil	03. 50 < Employees <= 200	2023	03. 10 to <= 2	74192.0	wearesection.com
ORBIS	74ad0bd5bb0cb9924fc97ba54c25970a87a815ebde29a40c5397a4e34b619c13	19 Professional Services	01. <=1mil	01. Employees <= 10	2023	05. > 30 Years	70209.0	www.dpi-asia.com
ORBIS	91d30bb452ffa3fe0d0b44e024e2402dcb80c848a8cc217d6e77f23ccadf6c41	19 Professional Services	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	74191.0	www.unitedteam.com.sg
GMAP	4f0085e2e62b7fd45fe8d21b9a82f058c74e94cb6e51b852595693d4a2be0ae1	11 Wholesale	08. Above 100mil	02. 10 < Employees <= 50	2023	02. 5 to <= 10	46610.0	www.mercantile.sg/
ORBIS	a29208dffbe66700ee651c30ea0017a2049a17b195c5edefddd767d7ca58bbbc	19 Professional Services	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	04. 20 to <= 3	70101.0	innospec.com
ORBIS	312fddb138dda2a37ead2a319388838ed4ffba61f3b85738bbe516fc9af4f779	02 Construction	03. 1mil -<= 10mil	03. 50 < Employees <= 200	2023	05. > 30 Years	41001.0	www.etron.com.sg
ORBIS	ff35d5bc28cf884a08919eff46f6b1d3b87628a021a79c743befed014b1333ff	12 Retail Trade	01. <=1mil	Missing EMP	2023	05. > 30 Years	47751.0	plusminus.com.sg
ORBIS	54c0dbff1fc792ea962fbcd72c451e4d24c8ca547d24cfb8e779528fb5d6276b	04 Other Goods Industries	01. <=1mil	Missing EMP	2023	01. <= 5 Years	3209.0	www.cube2.com.sg
WORLDORGS	d8008be08ba7a5e6621cb94c6538d256e63128453383391942266eb13e82618d	12 Retail Trade	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	47751.0	https://m.facebook.com/cerminmata/
ORBIS	3e9a4583cab8aaa853d0af9ec6045d9c8397de2883327bf5cf7b4c0e495eef82	01 Manufacturing	01. <=1mil	01. Employees <= 10	2023	04. 20 to <= 3	26124.0	www.microfine-piezo.com
ORBIS	f1add3e06a0662edb93808ec3bbe75d0eb21d15d8829f5e8f708edf0ab4a28de	01 Manufacturing	01. <=1mil	01. Employees <= 10	2023	04. 20 to <= 3	10712.0	www.best-one.com.sg
GMAP	1d3e162a0104505acb605b48e6b04d4a0c51ee48793757dda208ba0c734f3632	11 Wholesale	01. <=1mil	01. Employees <= 10	2023	01. <= 5 Years	46591.0	www.arms-sg.com/
SGNIC	ac989c3a38622b0ffeaa8da8a8591d107a3268c4d74fbe997e319cce7938fb42	02 Construction	01. <=1mil	00. Non-Employing	2023	01. <= 5 Years	42101.0	VERVEVISTA.COM.SG
ORBIS	5b8e5a6fdcf1c1c17b1c96121cc3e68cb7749591521400e2ed73409cd8fca7d9	21 Other Services Industries	01. <=1mil	02. 10 < Employees <= 50	2023	03. 10 to <= 2	94999.0	www.wings.sg
ORBIS	fe60469d880e3e429943513f93f05f5837da6771609d695768c38ff071692940	19 Professional Services	01. <=1mil	Missing EMP	2023	03. 10 to <= 2	70201.0	aromeconcepts.com/main.html
SGNIC	6766236811401224171ff5fe8febd2acadc5c87c8e0718a2ea5491365cf6e055	17 Finance & Insurance	01. <=1mil	Missing EMP	2023	01. <= 5 Years	64202.0	LEOMAXGLOBAL.SG
ORBIS	b9863235eac97aa42f938435a1bd9ec3c38ca5d604a740a0ea60e2238f11fbf9	20 Administrative & Support Services	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	78103.0	ud.netmaid.com.sg
ORBIS	0b3d964646fec7e55bea36f979efa8a89110f54a006e8a9d17df5671c5e246fc	01 Manufacturing	01. <=1mil	01. Employees <= 10	2023	04. 20 to <= 3	32901.0	www.artsign.com
ORBIS	72f32513dd9c4ea6e404dd98b526e7c883ec8077846490587b33b3def999491d	11 Wholesale	01. <=1mil	Missing EMP	2023	01. <= 5 Years	46900.0	m-shot.com
ORBIS	cc449576bddd1816b8fa6db0c09084fd287266a926a3db3462acb3fa153bbcf8	12 Retail Trade	01. <=1mil	01. Employees <= 10	2023	05. > 30 Years	47211.0	meng.com
ORBIS	d3a1b3b85615aa4298579c326f0d0b4ef7a0ea4158556a202929dd27a728f620	02 Construction	06. 10mil -<= 100mil	04. 200 < Employees <= 500	2023	05. > 30 Years	41001.0	www.nakano.com.sg
GMAP	e20a7b14c09970da0bbc331cadf1a3ae3cd2329df1458a58e7e453bfc5bc03d2	21 Other Services Industries	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	88911.0	www.sunflowerkid.com/
ORBIS	883fdb3557754db35c7557eccf92eb7bad8eaa106ed41eb7ee9a1c4fcb721118	16 Information & Communications	06. 10mil -<= 100mil	02. 10 < Employees <= 50	2023	03. 10 to <= 2	62090.0	browzwear.com
SGNIC	04be48c1f1f10562db513e75019f9ad032895a3670391c54c0a17ff6ae3894f0	02 Construction	01. <=1mil	01. Employees <= 10	2023	01. <= 5 Years	43301.0	DECOPLANNERS.COM.SG
ORBIS	1bf6f08ef7f95e8b1b62148ffc3dc0aa62ab02b6d8ff3315fbe8110ce03c032e	19 Professional Services	01. <=1mil	Missing EMP	2023	02. 5 to <= 10	71126.0	blueseas.com.sg
GMAP	d8b7268a8a5fd96d215a7c1d382219d96641d4af33dd5f504b8b026a6fb5ac51	12 Retail Trade	01. <=1mil	Missing EMP	2023	02. 5 to <= 10	47711.0	https://www.ogreenliving.com/
ORBIS	30bfb8977bd83cb08c0268074726c54cdcd555201226d93b530d10ab0fddff79	18 Real Estate	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	68101.0	www.tiongseng.com.sg
ORBIS	e591342e40a5fa432295138abc08183fd8f65e0cbe5e7dca6c0743b05b9ed03e	19 Professional Services	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	04. 20 to <= 3	71122.0	www.pmcont.com
ORBIS	5a5d1993d7febf8a403958a02ca49763d094e139f031a893b05a7f97a1ecfa46	12 Retail Trade	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	03. 10 to <= 2	47420.0	www.arvisual.com.sg
ORBIS	2848713d9cd235383f93b5b6c01ea1ed1bab9b81bd6eb5b73cf115af9f4a4191	02 Construction	01. <=1mil	01. Employees <= 10	2023	04. 20 to <= 3	41009.0	www.bca.gov.sg/bcadirectory/company/details/199604669m
GMAP	6384bffe7067992c1d0818b5712a850c8c96110bc5c8e31ae74f141313e0cc68	02 Construction	03. 1mil -<= 10mil	01. Employees <= 10	2023	03. 10 to <= 2	43299.0	https://www.packlines.com/
ORBIS	f081bf388f66ce8e29be6f20f26c0653f973114d82b83616f69f18384cd3e92a	21 Other Services Industries	03. 1mil -<= 10mil	01. Employees <= 10	2023	03. 10 to <= 2	86203.0	www.memc.com.sg
ORBIS	70afa31156a72f2cb2957f515353d64575744ab28a6b5e1bbfbb1376e5abf451	11 Wholesale	03. 1mil -<= 10mil	01. Employees <= 10	2023	02. 5 to <= 10	46900.0	www.ihi.co.jp
ORBIS	e0055afb19b8d02d51d9b57eeb230250918e5595237a0af43247a3393860f7e0	12 Retail Trade	01. <=1mil	02. 10 < Employees <= 50	2023	05. > 30 Years	47219.0	www.yuansang.com.sg
SGNIC	3209edde23f640a1b49c4f47c1283c13a294177f9daafd27d52cc0e29d1624bc	11 Wholesale	01. <=1mil	Missing EMP	2023	01. <= 5 Years	46900.0	GEN3.COM.SG
SGNIC	9f580d87351bf81c5f91cf46daf7bbbc60c3aa5f5d67888a0cb8623c9072116a	19 Professional Services	01. <=1mil	01. Employees <= 10	2023	03. 10 to <= 2	69202.0	UNIGROWTHSERVICES.COM.SG
ORBIS	3f0626e123f2b8add664132fed7f02d68cd940889897f77989c2b12f5b8c4096	19 Professional Services	03. 1mil -<= 10mil	01. Employees <= 10	2023	02. 5 to <= 10	71129.0	innospectra.com.sg
SGNIC	311381601b775feab183797962c8b02f19233d427dcd4c734fce234aebd4a912	02 Construction	01. <=1mil	01. Employees <= 10	2023	01. <= 5 Years	41001.0	G-POINT.SG
